Основне посилання,ID оголошення,Посилання на оголошення,Ціна,Місто,Дата і час публікації,Загальна площа,Район
https://www.olx.ua/uk/nedvizhimost/kvartiry/,829152278,https://www.olx.ua/d/uk/obyavlenie/prodam-kvartiru-po-gerov-ato-IDU72nQ.html,837175,Кривий Ріг,03 лютого 2024 р.,57.6,Покровський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,814219350,https://www.olx.ua/d/uk/obyavlenie/prodaetsya-2k-kvartira-tsentr-ul-kolodeznaya-IDT6nEa.html,1079614,Миколаїв,04 лютого 2024 р.,45.0,Центральний
https://www.olx.ua/uk/nedvizhimost/kvartiry/,826703739,https://www.olx.ua/d/uk/obyavlenie/sdam-1-k-kvartiru-metro-studencheskaya-IDTVLph.html,3499,Харків,04 лютого 2024 р.,40.0,Київський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832929114,https://www.olx.ua/d/uk/obyavlenie/bez-foto-sootv-3k-razd-3-16et-ul-solomenskaya-41-solomenskiy-r-n-IDUmSUy.html,3030117,Київ,Сьогодні о 03:55,66.0,Солом'янський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832929011,https://www.olx.ua/d/uk/obyavlenie/prodazh-veliko-trikmnatno-kvartiri-v-novobudov-blya-m-cherngvska-IDUmSST.html,4166932,Київ,Сьогодні о 03:39,95.0,Дніпровський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832928817,https://www.olx.ua/d/uk/obyavlenie/prodam-kvartiru-vd-vlasnika-1-kmnatna-zabolotnogo-38-IDUmSPL.html,1003852,Одеса,Сьогодні о 03:06,35.0,Хаджибейський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832928703,https://www.olx.ua/d/uk/obyavlenie/kvartira-1k-v-arkadii-IDUmSNW.html,1666773,Одеса,Сьогодні о 02:51,42.0,Приморський
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832928667,https://www.olx.ua/d/uk/obyavlenie/orenda-3-h-kmnatno-kvartiri-vul-troleybusna-blya-18-shkoli-IDUmSNl.html,6000,Івано-Франківськ,Сьогодні о 02:47,61.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832928662,https://www.olx.ua/d/uk/obyavlenie/dvokmnatna-kvartira-z-evroremontom-ndivdualne-opalennya-IDUmSNg.html,2007704,Обухів,Сьогодні о 02:46,54.0,
https://www.olx.ua/uk/nedvizhimost/kvartiry/,832928512,https://www.olx.ua/d/uk/obyavlenie/sdam-2-komn-v-tsentre-IDUmSKQ.html,15000,Старі Кодаки,Сьогодні о 02:34,56.0,
